"SITE","SITE_CODE","NOTES","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","experiment_type","block","plot","trt","first_nutrient_year","species","family","group","cover_1","surveyor_1","date_1","cover_2","surveyor_2","date_2","cover_3","surveyor_3","date_3","cover_4","surveyor_4","date_4"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Betonica officinalis","Lamiaceae","Non-Graminoid",53,"ATC","30/06/2023",55,"EBS","30/06/2023",40,"MM","30/06/2023",53,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Briza media","Poaceae","Graminoid",2,"ATC","30/06/2023",1,"EBS","30/06/2023",2,"MM","30/06/2023",2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Carex pallescens","Cyperaceae","Graminoid",1,"ATC","30/06/2023",1,"EBS","30/06/2023",1,"MM","30/06/2023",1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Dactylis glomerata","Poaceae","Graminoid",1,"ATC","30/06/2023",1,"EBS","30/06/2023",1,"MM","30/06/2023",1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Festuca rubra","Poaceae","Graminoid",28,"ATC","30/06/2023",22,"EBS","30/06/2023",20,"MM","30/06/2023",28,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Galium mollugo","Rubiaceae","Non-Graminoid",4,"ATC","30/06/2023",3,"EBS","30/06/2023",5,"MM","30/06/2023",4,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Glechoma hederacea","Lamiaceae","Non-Graminoid",2,"ATC","30/06/2023",2,"EBS","30/06/2023",0,NA,NA,2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Holcus lanatus","Poaceae","Graminoid",6,"ATC","30/06/2023",6,"EBS","30/06/2023",5,"MM","30/06/2023",6,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Lathyrus pratensis","Fabaceae","Non-Graminoid",6,"ATC","30/06/2023",5,"EBS","30/06/2023",5,"MM","30/06/2023",6,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Lotus corniculatus","Fabaceae","Non-Graminoid",2,"ATC","30/06/2023",1,"EBS","30/06/2023",1,"MM","30/06/2023",2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Luzula campestris","Juncaceae","Graminoid",0,NA,NA,2,"EBS","30/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Lysimachia nummularia","Primulaceae","Non-Graminoid",0,NA,NA,1,"EBS","30/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Plantago lanceolata","Plantaginaceae","Non-Graminoid",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Poa pratensis","Poaceae","Graminoid",1,"ATC","30/06/2023",0,NA,NA,0,NA,NA,1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Ranunculus acris","Ranunculaceae","Non-Graminoid",0,NA,NA,2,"EBS","30/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Rumex acetosa","Polygonaceae","Non-Graminoid",4,"ATC","30/06/2023",3,"EBS","30/06/2023",1,"MM","30/06/2023",4,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Stellaria graminea","Caryophyllaceae","Non-Graminoid",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","Trisetum flavescens","Poaceae","Graminoid",3,"ATC","30/06/2023",0,NA,NA,0,NA,NA,3,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Acer","Sapindaceae","Non-Graminoid",1,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Agrostis capillaris","Poaceae","Graminoid",30,"ATC","30/06/2023",21,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Alopecurus pratensis","Poaceae","Graminoid",2,"ATC","30/06/2023",1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Arrhenatherum elatius","Poaceae","Graminoid",2,"ATC","30/06/2023",5,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Betonica officinalis","Lamiaceae","Non-Graminoid",4,"ATC","30/06/2023",6,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Carex pallescens","Cyperaceae","Graminoid",0,NA,NA,1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Dactylis glomerata","Poaceae","Graminoid",4,"ATC","30/06/2023",5,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Daucus carota","Apiaceae","Non-Graminoid",2,"ATC","30/06/2023",1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Elymus repens","Poaceae","Graminoid",0,NA,NA,4,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Festuca pratensis","Poaceae","Graminoid",0,NA,NA,38,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Festuca rubra","Poaceae","Graminoid",24,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Galium mollugo","Rubiaceae","Non-Graminoid",6,"ATC","30/06/2023",5,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Glechoma hederacea","Lamiaceae","Non-Graminoid",2,"ATC","30/06/2023",1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Holcus lanatus","Poaceae","Graminoid",16,"ATC","30/06/2023",22,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Lathyrus pratensis","Fabaceae","Non-Graminoid",8,"ATC","30/06/2023",18,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Lysimachia nummularia","Primulaceae","Non-Graminoid",4,"ATC","30/06/2023",2,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Plantago lanceolata","Plantaginaceae","Non-Graminoid",0,NA,NA,4,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Ranunculus repens","Ranunculaceae","Non-Graminoid",1,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Rumex acetosa","Polygonaceae","Non-Graminoid",3,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","Trifolium repens","Fabaceae","Non-Graminoid",3,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","Agrostis capillaris","Poaceae","Graminoid",12,"ATC","30/06/2023",10,"EBS","29/06/2023",10,"MM","30/06/2023",12,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","Anthoxanthum odoratum","Poaceae","Graminoid",0,NA,NA,2,"EBS","29/06/2023",2,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","Arrhenatherum elatius","Poaceae","Graminoid",2,"ATC","30/06/2023",0,NA,NA,0,NA,NA,2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","Bellis perennis","Asteraceae","Non-Graminoid",0,NA,NA,1,"EBS","29/06/2023",0,NA,NA,0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","Betonica officinalis","Lamiaceae","Non-Graminoid",18,"ATC","30/06/2023",25,"EBS","29/06/2023",10,"MM","30/06/2023",18,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","Carex hirta","Cyperaceae","Graminoid",0,NA,NA,5,"EBS","29/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","Carex spicata","Cyperaceae","Graminoid",5,"ATC","30/06/2023",1,"EBS","29/06/2023",0,NA,NA,5,"ATC","30/06/2023"
