"SITE","SITE_CODE","NOTES","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","experiment_type","block","plot","trt","first_nutrient_year","species","cover_1","surveyor_1","date_1","cover_2","surveyor_2","date_2","cover_3","surveyor_3","date_3","cover_4","surveyor_4","date_4"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","agrostis capillaris",5,"ATC","29/06/2023",3,"EBS","29/06/2023",5,"MM","30/06/2023",5,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","anthoxanthum odoratum",1,"ATC","29/06/2023",1,"EBS","29/06/2023",1,"MM","30/06/2023",1,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","arrhenatherum elatius",3,"ATC","29/06/2023",2,"EBS","29/06/2023",0,NA,NA,3,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","avenula pubescens",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","bare ground",9,"ATC","29/06/2023",5,"EBS","29/06/2023",2,"MM","30/06/2023",9,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","carex pallescens",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","dactylis glomerata",7,"ATC","29/06/2023",2,"EBS","29/06/2023",5,"MM","30/06/2023",7,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","daucus carota",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","festuca rubra",4,"ATC","29/06/2023",3,"EBS","29/06/2023",5,"MM","30/06/2023",4,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","galium mollugo",14,"ATC","29/06/2023",8,"EBS","29/06/2023",5,"MM","30/06/2023",14,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","glechoma hederacea",2,"ATC","29/06/2023",2,"EBS","29/06/2023",0,NA,NA,2,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","holcus lanatus",11,"ATC","29/06/2023",10,"EBS","29/06/2023",5,"MM","30/06/2023",11,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","hypericum perforatum",22,"ATC","29/06/2023",25,"EBS","29/06/2023",30,"MM","30/06/2023",22,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","lathyrus pratensis",2,"ATC","29/06/2023",1,"EBS","29/06/2023",1,"MM","30/06/2023",2,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","luzula campestris",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","lysimachia nummularia",3,"ATC","29/06/2023",2,"EBS","29/06/2023",1,"MM","30/06/2023",3,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","plantago lanceolata",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","poa pratensis",4,"ATC","29/06/2023",0,NA,NA,1,"MM","30/06/2023",4,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","rumex acetosa",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","stachys officinalis",48,"ATC","29/06/2023",55,"EBS","29/06/2023",65,"MM","30/06/2023",48,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","stellaria graminea",1,"ATC","29/06/2023",1,"EBS","29/06/2023",1,"MM","30/06/2023",1,"ATC","29/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,5,"Control","2023","trisetum flavescens",0,NA,NA,3,"EBS","29/06/2023",2,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","agrostis capillaris",4,"ATC","30/06/2023",3,"EBS","30/06/2023",2,"MM","30/06/2023",4,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","ajuga reptans",0,NA,NA,0,NA,NA,2,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","anthoxanthum odoratum",1,"ATC","30/06/2023",0,NA,NA,1,"MM","30/06/2023",1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","arrhenatherum elatius",2,"ATC","30/06/2023",2,"EBS","30/06/2023",1,"MM","30/06/2023",2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","bare ground",2,"ATC","30/06/2023",0,NA,NA,2,"MM","30/06/2023",2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","briza media",2,"ATC","30/06/2023",1,"EBS","30/06/2023",2,"MM","30/06/2023",2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","carex pallescens",1,"ATC","30/06/2023",1,"EBS","30/06/2023",1,"MM","30/06/2023",1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","dactylis glomerata",1,"ATC","30/06/2023",1,"EBS","30/06/2023",1,"MM","30/06/2023",1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","festuca rubra",28,"ATC","30/06/2023",22,"EBS","30/06/2023",20,"MM","30/06/2023",28,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","galium mollugo",4,"ATC","30/06/2023",3,"EBS","30/06/2023",5,"MM","30/06/2023",4,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","glechoma hederacea",2,"ATC","30/06/2023",2,"EBS","30/06/2023",0,NA,NA,2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","holcus lanatus",6,"ATC","30/06/2023",6,"EBS","30/06/2023",5,"MM","30/06/2023",6,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","lathyrus pratensis",6,"ATC","30/06/2023",5,"EBS","30/06/2023",5,"MM","30/06/2023",6,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","lotus corniculatus",2,"ATC","30/06/2023",1,"EBS","30/06/2023",1,"MM","30/06/2023",2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","luzula campestris",0,NA,NA,2,"EBS","30/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","lysimachia nummularia",0,NA,NA,1,"EBS","30/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","plantago lanceolata",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","poa pratensis",1,"ATC","30/06/2023",0,NA,NA,0,NA,NA,1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","ranunculus acris",0,NA,NA,2,"EBS","30/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","rumex acetosa",4,"ATC","30/06/2023",3,"EBS","30/06/2023",1,"MM","30/06/2023",4,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","stachys officinalis",53,"ATC","30/06/2023",55,"EBS","30/06/2023",40,"MM","30/06/2023",53,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","stellaria graminea",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,8,"Control","2023","trisetum flavescens",3,"ATC","30/06/2023",0,NA,NA,0,NA,NA,3,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","acer sp.",1,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","agrostis capillaris",30,"ATC","30/06/2023",21,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","alopecurus pratensis",2,"ATC","30/06/2023",1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","arrhenatherum elatius",2,"ATC","30/06/2023",5,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","bare ground",2,"ATC","30/06/2023",3,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","carex pallescens",0,NA,NA,1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","dactylis glomerata",4,"ATC","30/06/2023",5,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","daucus carota",2,"ATC","30/06/2023",1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","elymus repens",0,NA,NA,4,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","festuca pratensis",0,NA,NA,38,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","festuca rubra",24,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","galium mollugo",6,"ATC","30/06/2023",5,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","glechoma hederacea",2,"ATC","30/06/2023",1,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","holcus lanatus",16,"ATC","30/06/2023",22,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","lathyrus pratensis",8,"ATC","30/06/2023",18,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","lysimachia nummularia",4,"ATC","30/06/2023",2,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","plantago lanceolata",0,NA,NA,4,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","ranunculus repens",1,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","rumex acetosa",3,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","stachys officinalis",4,"ATC","30/06/2023",6,"EBS","30/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",2,10,"Control","2023","trifolium repens",3,"ATC","30/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","agrostis capillaris",12,"ATC","30/06/2023",10,"EBS","29/06/2023",10,"MM","30/06/2023",12,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","anthoxanthum odoratum",0,NA,NA,2,"EBS","29/06/2023",2,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","arrhenatherum elatius",2,"ATC","30/06/2023",0,NA,NA,0,NA,NA,2,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","bare ground",3,"ATC","30/06/2023",0,NA,NA,1,"MM","30/06/2023",3,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","bellis perennis",0,NA,NA,1,"EBS","29/06/2023",0,NA,NA,0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","carex hirta",0,NA,NA,5,"EBS","29/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","carex spicata",5,"ATC","30/06/2023",1,"EBS","29/06/2023",0,NA,NA,5,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","cryptogam",1,"ATC","30/06/2023",1,"EBS","29/06/2023",0,NA,NA,1,"ATC","30/06/2023"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","dactylis glomerata",0,NA,NA,0,NA,NA,1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","elymus repens",0,NA,NA,1,"EBS","29/06/2023",0,NA,NA,0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","equisetum arvense",0,NA,NA,2,"EBS","29/06/2023",1,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","festuca pratensis",0,NA,NA,1,"EBS","29/06/2023",2,"MM","30/06/2023",0,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",3,14,"Control","2023","festuca rubra",32,"ATC","30/06/2023",25,"EBS","29/06/2023",10,"MM","30/06/2023",32,"ATC","30/06/2023"
