"species","corrected","family"
"Asclepias syriaca","Asclepias syriaca","Apocynaceae"
"Asclepias verticillata","Asclepias verticillata","Apocynaceae"
"Asteraceae sp.","Asteraceae","Asteraceae"
"Astragalus filipes","Astragalus filipes","Fabaceae"
"Astragalus frigidus","Astragalus frigidus","Fabaceae"
"Astragalus inflexus","Astragalus inflexus","Fabaceae"
"Astragalus purshii","Astragalus purshii","Fabaceae"
"Astragalus sp.","Astragalus","Fabaceae"
"Austrostipa sp.","Austrostipa","Poaceae"
"Avena barbata","Avena barbata","Poaceae"
"Avena fatua","Avena fatua","Poaceae"
"Avenula pubescens","Avenula pubescens","Poaceae"
"Axanopus sp.","Axanopus sp.","Poaceae"
"Balsamorhiza sagittata","Wyethia sagittata","Asteraceae"
"Baptisia alba","Baptisia alba","Fabaceae"
"Bartsia alpina","Bartsia alpina","Orobanchaceae"
"Bellis perennis","Bellis perennis","Asteraceae"
"Berteroa incana","Berteroa incana","Brassicaceae"
"Betula sp.","Betula","Betulaceae"
"Bistorta vivipara","Bistorta vivipara","Polygonaceae"
"Boechera retrofracta","Boechera retrofracta","Brassicaceae"
"Boechera sp.","Boechera","Brassicaceae"
"Borya laciniata","Borya laciniata","Boryaceae"
"Borya sphaerocephala","Borya sphaerocephala","Boryaceae"
"Bouteloua curtipendula","Bouteloua curtipendula","Poaceae"
"Bouteloua gracilis","Bouteloua gracilis","Poaceae"
"Brachyscome iberidifolia","Brachyscome iberidifolia","Asteraceae"
"Braya sp.","Braya","Brassicaceae"
"Brickellia eupatorioides","Brickellia eupatorioides","Asteraceae"
"Briza media","Briza media","Poaceae"
"Bromus diandrus","Bromus diandrus","Poaceae"
"Bromus hordeaceus","Bromus hordeaceus","Poaceae"
"Bromus inermis","Bromus inermis","Poaceae"
"Bromus japonicus","Bromus japonicus","Poaceae"
"Bromus rubens","Bromus rubens","Poaceae"
"Bromus sp.","Bromus","Poaceae"
"Bromus sterilis","Bromus sterilis","Poaceae"
"Bromus tectorum","Bromus tectorum","Poaceae"
"Brunonia australis","Brunonia australis","Goodeniaceae"
"Calamagrostis epigejos","Calamagrostis epigejos","Poaceae"
"Camelina microcarpa","Camelina microcarpa","Brassicaceae"
"Camissonia andina","Neoholmgrenia andina","Onagraceae"
"Campanula patula","Campanula patula","Campanulaceae"
"Campanula rapunculus","Campanula rapunculus","Campanulaceae"
"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae"
"Campanula scheuchzeri","Campanula scheuchzeri","Campanulaceae"
"Capsella bursa-pastoris","Capsella bursa-pastoris","Brassicaceae"
"Cardamine pratensis","Cardamine pratensis","Brassicaceae"
"Carduus acanthoides","Carduus acanthoides","Asteraceae"
"Carex austrina","Carex austrina","Cyperaceae"
"Carex capillaris","Carex capillaris","Cyperaceae"
"Carex digitata","Carex digitata","Cyperaceae"
"Carex divulsa","Carex divulsa","Cyperaceae"
"Carex ferruginea","Carex ferruginea","Cyperaceae"
"Carex flava","Carex flava","Cyperaceae"
"Carex fuliginosa","Carex fuliginosa","Cyperaceae"
"Carex hirta","Carex hirta","Cyperaceae"
"Carex inops","Carex inops","Cyperaceae"
"Carex meadii","Carex meadii","Cyperaceae"
"Carex pallescens","Carex pallescens","Cyperaceae"
"Carex rupestris","Carex rupestris","Cyperaceae"
"Carex sempervirens","Carex sempervirens","Cyperaceae"
"Carex sp.","Carex","Cyperaceae"
"Carex spicata","Carex spicata","Cyperaceae"
"Carex umbrosa","Carex umbrosa","Cyperaceae"
"Carex vaginata","Carex vaginata","Cyperaceae"
"Carphephorus bellidifolius","Carphephorus bellidifolius","Asteraceae"
"Celastrus orbiculatus","Celastrus orbiculatus","Celastraceae"
"Centaurea americana","Centaurea americana","Asteraceae"
"Centaurea jacea","Centaurea jacea","Asteraceae"
"Centaurea nigra","Centaurea nigra","Asteraceae"
"Centaurea stoebe","Centaurea stoebe","Asteraceae"
"Cerastium fontanum","Cerastium fontanum","Caryophyllaceae"
"Cerastium glomeratum","Cerastium glomeratum","Caryophyllaceae"
"Cerastium holosteoides","Cerastium holosteoides","Caryophyllaceae"
"Ceratocephala testiculata","Ranunculus testiculatus","Ranunculaceae"
"Chamaecrista fasciculata","Chamaecrista fasciculata","Fabaceae"
"Chamaecrista nictitans","Chamaecrista nictitans","Fabaceae"
"Chenopodium berlandieri","Chenopodium berlandieri","Amaranthaceae"
"Chenopodium incanum","Chenopodium incanum","Amaranthaceae"
"Chrysopsis mariana","Chrysopsis mariana","Asteraceae"
"Chrysothamnus viscidiflorus","Chrysothamnus viscidiflorus","Asteraceae"
"Chthonocephalus pseudevax","Chthonocephalus pseudevax","Asteraceae"
"Cirsium arvense","Cirsium arvense","Asteraceae"
"Cirsium engelmannii","Cirsium engelmannii","Asteraceae"
"Cirsium helenioides","Cirsium helenioides","Asteraceae"
"Claytonia perfoliata","Claytonia perfoliata","Montiaceae"
"Clethra alnifolia","Clethra alnifolia","Clethraceae"
"Clinopodium vulgare","Clinopodium vulgare","Lamiaceae"
"Cocculus carolinus","Nephroia carolina","Menispermaceae"
"Collinsia parviflora","Collinsia parviflora","Plantaginaceae"
"Collomia linearis","Collomia linearis","Polemoniaceae"
"Commelina cyanea","Commelina cyanea","Commelinaceae"
"Commelina erecta","Commelina erecta","Commelinaceae"
"Convolvulus arvensis","Convolvulus arvensis","Convolvulaceae"
"Conyza canadensis","Erigeron canadensis","Asteraceae"
"Cordylanthus sp.","Cordylanthus","Orobanchaceae"
"Coreopsis tripteris","Coreopsis tripteris","Asteraceae"
"Crassula colorata","Crassula colorata","Crassulaceae"
"Crepis acuminata","Crepis acuminata","Asteraceae"
"Crepis aurea","Crepis aurea","Asteraceae"
"Crepis biennis","Crepis biennis","Asteraceae"
"Crepis capillaris","Crepis capillaris","Asteraceae"
"Cryptantha celosioides","Oreocarya glomerata","Boraginaceae"
"Cynodon dactylon","Cynodon dactylon","Poaceae"
"Cynosurus cristatus","Cynosurus cristatus","Poaceae"
"Dactylis glomerata","Dactylis glomerata","Poaceae"
"Dalea candida","Dalea candida","Fabaceae"
"Daucus carota","Daucus carota","Apiaceae"
"Deschampsia cespitosa","Deschampsia cespitosa","Poaceae"
"Deschampsia flexuosa","Avenella flexuosa","Poaceae"
"Dianthus armeria","Dianthus armeria","Caryophyllaceae"
"Dichanthelium commutatum","Dichanthelium commutatum","Poaceae"
"Dichanthelium oligosanthes","Dichanthelium oligosanthes","Poaceae"
"Dichanthelium sabulorum thinium","Dichanthelium columbianum","Poaceae"
"Draba nemorosa","Draba nemorosa","Brassicaceae"
"Draba subcapitata","Draba subcapitata","Brassicaceae"
"Draba verna","Draba verna","Brassicaceae"
"Drosera hookeri","Drosera hookeri","Droseraceae"
"Dryas octopetala","Dryas octopetala","Rosaceae"
"Echinacea pallida","Echinacea pallida","Asteraceae"
"Echinacea sp.","Echinacea","Asteraceae"
"Ehrharta longiflora","Ehrharta longiflora","Poaceae"
"Elymus canadensis","Elymus canadensis","Poaceae"
"Elymus caninus","Elymus caninus","Poaceae"
"Elymus mutabilis","Elymus mutabilis","Poaceae"
"Elymus repens","Elymus repens","Poaceae"
"Elytrigia repens","Elymus repens","Poaceae"
"Epilobium anagallidifolium","Epilobium anagallidifolium","Onagraceae"
"Epilobium brachycarpum","Epilobium brachycarpum","Onagraceae"
"Equisetum arvense","Equisetum arvense","Equisetaceae"
"Equisetum laevigatum","Equisetum laevigatum","Equisetaceae"
"Equisetum pratense","Equisetum pratense","Equisetaceae"
"Equisetum scirpoides","Equisetum scirpoides","Equisetaceae"
"Eragrostis curvula","Eragrostis curvula","Poaceae"
"Erechtites hieraciifolius","Erechtites hieraciifolius","Asteraceae"
"Erigeron annuus","Erigeron annuus","Asteraceae"
"Erigeron corymbosus","Erigeron corymbosus","Asteraceae"
"Erigeron pumilus","Erigeron pumilus","Asteraceae"
"Erodium botrys","Erodium botrys","Geraniaceae"
"Erodium cicutarium","Erodium cicutarium","Geraniaceae"
"Erodium cygnorum","Erodium cygnorum","Geraniaceae"
"Erodium sp.","Erodium","Geraniaceae"
"Erymophyllum tenellum","Erymophyllum tenellum","Asteraceae"
"Eryngium yuccifolium","Eryngium yuccifolium","Apiaceae"
"Eupatorium rotundifolium rotundifolium","Eupatorium rotundifolium","Asteraceae"
"Euphorbia dentata","Euphorbia dentata","Euphorbiaceae"
"Euphorbia nutans","Euphorbia nutans","Euphorbiaceae"
"Euthamia graminifolia","Euthamia graminifolia","Asteraceae"
"Falcaria vulgaris","Falcaria vulgaris","Apiaceae"
"Festuca ovina","Festuca ovina","Poaceae"
"Festuca pratensis","Festuca pratensis","Poaceae"
"Festuca rubra","Festuca rubra","Poaceae"
"Filipendula ulmaria","Filipendula ulmaria","Rosaceae"
"Gaillardia pulchella","Gaillardia pulchella","Asteraceae"
"Galium album","Galium album","Rubiaceae"
"Galium anisophyllon","Galium anisophyllon","Rubiaceae"
"Galium concinnum","Galium concinnum","Rubiaceae"
"Galium mollugo","Galium mollugo","Rubiaceae"
"Gaura biennis","Oenothera gaura","Onagraceae"
"Gaylussacia frondosa","Gaylussacia frondosa","Ericaceae"
"Gelsemium sempervirens","Gelsemium sempervirens","Gelsemiaceae"
"Gentiana autumnalis","Gentiana autumnalis","Gentianaceae"
"Gentiana clusii","Gentiana clusii","Gentianaceae"
"Gentiana cruciata","Gentiana cruciata","Gentianaceae"
"Gentiana pannonica","Gentiana pannonica","Gentianaceae"
"Geranium dissectum","Geranium dissectum","Geraniaceae"
"Geranium molle","Geranium molle","Geraniaceae"
"Geranium pratense","Geranium pratense","Geraniaceae"
"Geranium pusillum","Geranium pusillum","Geraniaceae"
"Geranium sylvaticum","Geranium sylvaticum","Geraniaceae"
"Geum montanum","Geum montanum","Rosaceae"
"Glechoma hederacea","Glechoma hederacea","Lamiaceae"
"Goodenia cycnopotamica","Goodenia cycnopotamica","Goodeniaceae"
"Helianthemum bicknellii","Crocanthemum bicknellii","Cistaceae"
"Helianthus grosseserratus","Helianthus grosseserratus","Asteraceae"
"Helianthus pauciflorus","Helianthus pauciflorus","Asteraceae"
"Helianthus tuberosus","Helianthus tuberosus","Asteraceae"
"Helleborus niger","Helleborus niger","Ranunculaceae"
"Hesperostipa comata","Hesperostipa comata","Poaceae"
"Hieracium sylvaticum","Hieracium sylvaticum","Asteraceae"
"Hieracium umbellatum","Hieracium umbellatum","Asteraceae"
"Hilaria jamesii","Hilaria jamesii","Poaceae"
"Hippocrepis sp.","Hippocrepis","Fabaceae"
"Holcus lanatus","Holcus lanatus","Poaceae"
"Holosteum umbellatum","Holosteum umbellatum","Caryophyllaceae"
"Hordeum leporinum","Hordeum murinum","Poaceae"
"Hordeum murinum","Hordeum murinum","Poaceae"
"Hypericum humifusum ","Hypericum humifusum","Hypericaceae"
"Hypericum maculatum","Hypericum maculatum","Hypericaceae"
"Hypericum perforatum","Hypericum perforatum","Hypericaceae"
"Hypochaeris glabra","Hypochaeris glabra","Asteraceae"
"Hypochaeris radicata","Hypochaeris radicata","Asteraceae"
"Iris verna verna","Iris verna","Iridaceae"
"Jacobaea vulgaris","Jacobaea vulgaris","Asteraceae"
"Juncus biglumis","Juncus biglumis","Juncaceae"
"Juncus sp.","Juncus","Juncaceae"
"Juniperus virginiana","Juniperus virginiana","Cupressaceae"
"Knautia arvensis","Knautia arvensis","Caprifoliaceae"
"Koeleria macrantha","Koeleria macrantha","Poaceae"
"Lactuca serriola","Lactuca serriola","Asteraceae"
"Lactuca virosa","Lactuca virosa","Asteraceae"
"Lamium purpureum","Lamium purpureum","Lamiaceae"
"Laphangium luteoalbum","Pseudognaphalium luteoalbum","Asteraceae"
"Lappula occidentalis","Lappula occidentalis","Boraginaceae"
"Lathyrus pratensis","Lathyrus pratensis","Fabaceae"
"Leontodon autumnalis","Scorzoneroides autumnalis","Asteraceae"
"Leontodon hispidus","Leontodon hispidus","Asteraceae"
"Leptosiphon septentrionalis","Leptosiphon septentrionalis","Polemoniaceae"
"Lespedeza capitata","Lespedeza capitata","Fabaceae"
"Lespedeza repens","Lespedeza repens","Fabaceae"
"Leucanthemum ircutianum","Leucanthemum ircutianum","Asteraceae"
"Levenhookia dubia","Levenhookia dubia","Stylidiaceae"
"Liatris cokeri","Liatris cokeri","Asteraceae"
"Liatris mucronata","Liatris punctata","Asteraceae"
"Linanthus pungens","Linanthus pungens","Polemoniaceae"
"Linaria vulgaris","Linaria vulgaris","Plantaginaceae"
"Lithospermum ruderale","Lithospermum ruderale","Boraginaceae"
"Lolium perenne","Lolium perenne","Poaceae"
"Lomandra longifolia","Lomandra longifolia","Asparagaceae"
"Lomatium foeniculaceum","Lomatium foeniculaceum","Apiaceae"
"Lomatium triternatum","Lomatium triternatum","Apiaceae"
"Lonicera japonica","Lonicera japonica","Caprifoliaceae"
"Lotus alpinus","Lotus alpinus","Fabaceae"
"Lotus corniculatus","Lotus corniculatus","Fabaceae"
"Lupinus sericeus","Lupinus sericeus","Fabaceae"
"Luzula campestris","Luzula campestris","Juncaceae"
"Luzula pilosa","Luzula pilosa","Juncaceae"
"Lychnis alba","Silene latifolia","Caryophyllaceae"
"Lyonia mariana","Lyonia mariana","Ericaceae"
"Lysimachia nummularia","Lysimachia nummularia","Primulaceae"
"Malva moschata","Malva moschata","Malvaceae"
"Medicago lupulina","Medicago lupulina","Fabaceae"
"Medicago polymorpha","Medicago polymorpha","Fabaceae"
"Melampyrum sylvaticum","Melampyrum sylvaticum","Orobanchaceae"
"Melica nutans","Melica nutans","Poaceae"
"Melilotus officinalis","Melilotus officinalis","Fabaceae"
"Melilotus sp.","Melilotus","Fabaceae"
"Microlaena stipoides","Microlaena stipoides","Poaceae"
"Microstegium vimineum","Microstegium vimineum","Poaceae"
"Microtis unifolia","Microtis unifolia","Orchidaceae"
"Milium effusum","Milium effusum","Poaceae"
"Mimosa roemeriana","Mimosa quadrivalvis","Fabaceae"
"Minuartia stricta","Sabulina stricta","Caryophyllaceae"
"Mirabilis nyctaginea","Mirabilis nyctaginea","Nyctaginaceae"
"Mollugo verticillata","Mollugo verticillata","Molluginaceae"
"Monachather paradoxus","Monachather paradoxus","Poaceae"
"Monarda citriodora","Monarda citriodora","Lamiaceae"
"Monarda fistulosa","Monarda fistulosa","Lamiaceae"
"Muhlenbergia racemosa","Muhlenbergia racemosa","Poaceae"
"Myosotis arvensis","Myosotis arvensis","Boraginaceae"
"Myosotis micrantha","Myosotis micrantha","Boraginaceae"
"Myrica cerifera","Myrica cerifera","Myricaceae"
"Neurachne alopecuroidea","Neurachne alopecuroidea","Poaceae"
"Nothocalais troximoides","Microseris troximoides","Asteraceae"
"Oenothera parviflora","Oenothera parviflora","Onagraceae"
"Oenothera sinuosa","Oenothera sinuosa","Onagraceae"
"Oreoselinum nigrum","Peucedanum oreoselinum","Apiaceae"
"Orthilia secunda","Orthilia secunda","Ericaceae"
"Oxalis stricta","Oxalis stricta","Oxalidaceae"
"Panicum capillare","Panicum capillare","Poaceae"
"Panicum oligosanthes","Dichanthelium oligosanthes","Poaceae"
"Panicum virgatum","Panicum virgatum","Poaceae"
"Papaver rhoeas","Papaver rhoeas","Papaveraceae"
"Paris quadrifolia","Paris quadrifolia","Melanthiaceae"
"Parnassia palustris","Parnassia palustris","Celastraceae"
"Parthenium integrifolium mabryanum","Parthenium integrifolium","Asteraceae"
"Parthenocissus quinquefolia","Parthenocissus quinquefolia","Vitaceae"
"Paspalum dilatatum","Paspalum dilatatum","Poaceae"
"Paspalum sp.","Paspalum","Poaceae"
"Pentameris airoides","Pentameris airoides","Poaceae"
"Phleum alpinum","Phleum alpinum","Poaceae"
"Phleum rhaeticum","Phleum alpinum","Poaceae"
"Phlox hoodii","Phlox hoodii","Polemoniaceae"
"Phlox longifolia","Phlox longifolia","Polemoniaceae"
"Phyllanthus polygonoides","Phyllanthus polygonoides","Phyllanthaceae"
"Physalis heterophylla","Physalis heterophylla","Solanaceae"
"Physalis longifolia","Physalis longifolia","Solanaceae"
"Physalis mollis","Physalis mollis","Solanaceae"
"Physalis pumila","Physalis pumila","Solanaceae"
"Physalis virginiana","Physalis virginiana","Solanaceae"
"Phyteuma orbiculare","Phyteuma orbiculare","Campanulaceae"
"Picris hieracioides","Picris hieracioides","Asteraceae"
"Pilosella officinarum","Pilosella officinarum","Asteraceae"
"Pilosella piloselloides","Pilosella piloselloides","Asteraceae"
"Pinus palustris","Pinus palustris","Pinaceae"
"Pityopsis aspera","Pityopsis aspera","Asteraceae"
"Plantago lanceolata","Plantago lanceolata","Plantaginaceae"
"Plantago media","Plantago media","Plantaginaceae"
"Plantago patagonica","Plantago patagonica","Plantaginaceae"
"Poa abbreviata","Poa abbreviata","Poaceae"
"Poa alpigena","Poa alpigena","Poaceae"
"Poa alpina","Poa alpina","Poaceae"
"Poa bulbosa","Poa bulbosa","Poaceae"
"Poa nemoralis","Poa nemoralis","Poaceae"
"Poa pratensis","Poa pratensis","Poaceae"
"Poa secunda","Poa secunda","Poaceae"
"Poa supina","Poa supina","Poaceae"
"Poa trivialis","Poa trivialis","Poaceae"
"Poaceae sp.","Poaceae","Poaceae"
"Podolepis lessonii","Panaetia lessonii","Asteraceae"
"Polygala vulgaris","Polygala vulgaris","Polygalaceae"
"Polygonum convolvulus","Fallopia convolvulus","Polygonaceae"
"Polygonum tenue","Polygonum tenue","Polygonaceae"
"Polytaenia nuttallii","Polytaenia nuttallii","Apiaceae"
"Populus tremuloides","Populus tremuloides","Salicaceae"
"Potentilla anserina","Argentina anserina","Rosaceae"
"Potentilla argentea","Potentilla argentea","Rosaceae"
"Potentilla aurea","Potentilla aurea","Rosaceae"
"Primula elatior","Primula elatior","Primulaceae"
"Prosopis glandulosa","Neltuma glandulosa","Fabaceae"
"Prunella vulgaris","Prunella vulgaris","Lamiaceae"
"Prunus serotina","Prunus serotina","Rosaceae"
"Prunus sp.","Prunus","Rosaceae"
"Prunus spinosa","Prunus spinosa","Rosaceae"
"Pseudognaphalium obtusifolium","Pseudognaphalium obtusifolium","Asteraceae"
"Pseudoroegneria spicata","Pseudoroegneria spicata","Poaceae"
"Pteridium aquilinum","Pteridium aquilinum","Dennstaedtiaceae"
"Ptilotus polystachyus","Ptilotus polystachyus","Amaranthaceae"
"Pyrola rotundifolia","Pyrola rotundifolia","Ericaceae"
"Quercus incana","Quercus incana","Fagaceae"
"Quinetia urvillei","Quinetia urvillei","Asteraceae"
"Ranunculus acris","Ranunculus acris","Ranunculaceae"
"Ranunculus acris ","Ranunculus acris","Ranunculaceae"
"Ranunculus bulbosus","Ranunculus bulbosus","Ranunculaceae"
"Ranunculus montanus","Ranunculus montanus","Ranunculaceae"
"Ranunculus repens","Ranunculus repens","Ranunculaceae"
"Ratibida pinnata","Ratibida pinnata","Asteraceae"
"Rhamnus cathartica","Rhamnus cathartica","Rhamnaceae"
"Rhexia alifanus","Rhexia alifanus","Melastomataceae"
"Rhinanthus groenlandicus","Rhinanthus groenlandicus","Orobanchaceae"
"Rhinanthus minor","Rhinanthus minor","Orobanchaceae"
"Rhodanthe manglesii","Rhodanthe manglesii","Asteraceae"
"Rhus copallinum","Rhus copallinum","Anacardiaceae"
"Robinia hispida nana","Robinia hispida","Fabaceae"
"Robinia pseudoacacia","Robinia pseudoacacia","Fabaceae"
"Romulea rosea","Romulea rosea","Iridaceae"
"Rosa multiflora","Rosa multiflora","Rosaceae"
"Rubus allegheniensis","Rubus allegheniensis","Rosaceae"
"Rubus occidentalis","Rubus occidentalis","Rosaceae"
"Rubus phoenicolasius","Rubus phoenicolasius","Rosaceae"
"Rubus saxatilis","Rubus saxatilis","Rosaceae"
"Rubus sp.","Rubus","Rosaceae"
"Rubus trivialis","Rubus trivialis","Rosaceae"
"Rudbeckia hirta","Rudbeckia hirta","Asteraceae"
"Ruellia humilis","Ruellia humilis","Acanthaceae"
"Rumex acetosa","Rumex acetosa","Polygonaceae"
"Rumex acetosella","Rumex acetosella","Polygonaceae"
"Rumex crispus","Rumex crispus","Polygonaceae"
"Rytidosperma racemosum","Rytidosperma racemosum","Poaceae"
"Salix lanata","Salix lanata","Salicaceae"
"Salix polaris","Salix polaris","Salicaceae"
"Salsola tragus","Salsola tragus","Amaranthaceae"
"Salvia azurea","Salvia azurea","Lamiaceae"
"Sassafras albidum","Sassafras albidum","Lauraceae"
"Saussurea alpina","Saussurea alpina","Asteraceae"
"Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifragaceae"
"Scabiosa lucida","Scabiosa lucida","Caprifoliaceae"
"Sceptridium obliquum","Botrychium dissectum","Ophioglossaceae"
"Schizachyrium scoparium","Schizachyrium scoparium","Poaceae"
"Scleria triglomerata","Scleria triglomerata","Cyperaceae"
"Securigera varia","Coronilla varia","Fabaceae"
"Selaginella selaginoides","Selaginella selaginoides","Selaginellaceae"
"Senecio jacobaea","Senecio jacobaea","Asteraceae"
"Setaria faberi","Setaria faberi","Poaceae"
"Setaria glauca","Cenchrus americanus","Poaceae"
"Setaria parviflora","Setaria parviflora","Poaceae"
"Setaria viridis","Setaria viridis","Poaceae"
"Seymeria cassioides","Seymeria cassioides","Orobanchaceae"
"Silene acaulis","Silene acaulis","Caryophyllaceae"
"Silene dioica","Silene dioica","Caryophyllaceae"
"Silene latifolia","Silene latifolia","Caryophyllaceae"
"Silene vulgaris","Silene vulgaris","Caryophyllaceae"
"Sisymbrium altissimum","Sisymbrium altissimum","Brassicaceae"
"Solanum carolinense","Solanum carolinense","Solanaceae"
"Solanum dimidiatum","Solanum dimidiatum","Solanaceae"
"Solanum elaeagnifolium","Solanum elaeagnifolium","Solanaceae"
"Soldanella alpina","Soldanella alpina","Primulaceae"
"Solidago altissima","Solidago altissima","Asteraceae"
"Solidago canadensis","Solidago canadensis","Asteraceae"
"Solidago gigantea","Solidago gigantea","Asteraceae"
"Solidago missouriensis","Solidago missouriensis","Asteraceae"
"Solidago nemoralis","Solidago nemoralis","Asteraceae"
"Solidago rigida","Solidago rigida","Asteraceae"
"Solidago speciosa","Solidago speciosa","Asteraceae"
"Solidago virgaurea","Solidago virgaurea","Asteraceae"
"Sonchus asper","Sonchus asper","Asteraceae"
"Sonchus oleraceus","Sonchus oleraceus","Asteraceae"
"Sorghastrum nutans","Sorghastrum nutans","Poaceae"
"Sorghum halepense","Sorghum halepense","Poaceae"
"Sphaeralcea sp.","Sphaeralcea","Malvaceae"
"Sporobolus asper","Sporobolus compositus","Poaceae"
"Sporobolus compositus","Sporobolus compositus","Poaceae"
"Sporobolus sp.","Sporobolus","Poaceae"
"Stachys officinalis","Betonica officinalis","Lamiaceae"
"Stellaria graminea","Stellaria graminea","Caryophyllaceae"
"Stellaria media","Stellaria media","Caryophyllaceae"
"Stenaria nigricans","Stenaria nigricans","Rubiaceae"
"Stipa comata","Hesperostipa comata","Poaceae"
"Symphyotrichum ericoides","Symphyotrichum ericoides","Asteraceae"
"Symphyotrichum oblongifolium","Symphyotrichum oblongifolium","Asteraceae"
"Symphyotrichum pilosum","Symphyotrichum pilosum","Asteraceae"
"Symphyotrichum walteri","Symphyotrichum walteri","Asteraceae"
"Tagetes minuta","Tagetes minuta","Asteraceae"
"Taraxacum officinale","Taraxacum sect. Taraxacum","Asteraceae"
"Taraxacum sp.","Taraxacum","Asteraceae"
"Tetradymia canescens","Tetradymia canescens","Asteraceae"
"Teucrium laciniatum","Teucrium laciniatum","Lamiaceae"
"Thalictrum alpinum","Thalictrum alpinum","Ranunculaceae"
"Themeda triandra","Themeda triandra","Poaceae"
"Thymus sp.","Thymus","Lamiaceae"
"Torilis arvensis","Torilis arvensis","Apiaceae"
"Tragia brevispica","Tragia brevispica","Euphorbiaceae"
"Tragopogon dubius","Tragopogon dubius","Asteraceae"
"Tragopogon orientalis","Tragopogon orientalis","Asteraceae"
"Tragopogon pratensis","Tragopogon pratensis","Asteraceae"
"Tridens flavus","Tridens flavus","Poaceae"
"Trifolium arvense","Trifolium arvense","Fabaceae"
"Trifolium campestre","Trifolium campestre","Fabaceae"
"Trifolium dubium","Trifolium dubium","Fabaceae"
"Trifolium glomeratum","Trifolium glomeratum","Fabaceae"
"Trifolium pratense","Trifolium pratense","Fabaceae"
"Trifolium repens","Trifolium repens","Fabaceae"
"Triodanis perfoliata","Triodanis perfoliata","Campanulaceae"
"Trisetum flavescens","Trisetum flavescens","Poaceae"
"Trollius europaeus","Trollius europaeus","Ranunculaceae"
"Ursinia anthemoides","Ursinia anthemoides","Asteraceae"
"Vaccinium crassifolium","Vaccinium crassifolium","Ericaceae"
"Vaccinium myrtillus","Vaccinium myrtillus","Ericaceae"
"Vaccinium tenellum","Vaccinium tenellum","Ericaceae"
"Vaccinium uliginosum","Vaccinium uliginosum","Ericaceae"
"Vaccinium vitis-idaea","Vaccinium vitis-idaea","Ericaceae"
"Valerianella carinata","Valeriana carinata","Caprifoliaceae"
"Valerianella locusta","Valeriana locusta","Caprifoliaceae"
"Verbascum blattaria","Verbascum blattaria","Scrophulariaceae"
"Verbascum thapsus","Verbascum thapsus","Scrophulariaceae"
"Vernonia baldwinii","Vernonia baldwinii","Asteraceae"
"Veronica arvensis","Veronica arvensis","Plantaginaceae"
"Veronica chamaedrys","Veronica chamaedrys","Plantaginaceae"
"Veronica persica","Veronica persica","Plantaginaceae"
